"REF_DATE","GEO","DGUID","Measures","Sex","Age group","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513714","1.1.3.5.5","9500","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 12 to 17","High 95% confidence interval, number of persons","Number","223","units","0","v1792513715","1.1.3.5.6","222000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","Percent","Percent","239","units","0","v1792513716","1.1.3.6.1","39.1","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","Low 95% confidence interval, percent","Percent","239","units","0","v1792513717","1.1.3.6.2","32.4","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","High 95% confidence interval, percent","Percent","239","units","0","v1792513718","1.1.3.6.3","46.3","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","Number of persons","Number","223","units","0","v1792513719","1.1.3.6.4","5741400","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","Low 95% confidence interval, number of persons","Number","223","units","0","v1792513720","1.1.3.6.5","4698000","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 79","High 95% confidence interval, number of persons","Number","223","units","0","v1792513721","1.1.3.6.6","6784800","","","","0"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 64","Percent","Percent","239","units","0","v1792513722","1.1.3.7.1","42.2","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 64","Low 95% confidence interval, percent","Percent","239","units","0","v1792513723","1.1.3.7.2","34.6","","","","1"
"2024","Canada","2021A000011124","Meets physical activity recommendation (measured)","Females","Ages 18 to 64","High 95% confidence interval, percent","Percent","239","units","0","v1792513724","1.1.3.7.3","50.2","","","","1"
