"REF_DATE","GEO","DGUID","Age group","Sex","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, very good or excellent","High 95% confidence interval, percent","Percent","239","units","0","v1200071431","1.1.3.3.6","84.20","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","Number of persons","Number","223","units","0","v1200071432","1.1.3.4.1","128900","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071433","1.1.3.4.2","117471","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","High 95% confidence interval, number of persons","Number","223","units","0","v1200071434","1.1.3.4.3","140733","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","Percent","Percent","239","units","0","v1200071435","1.1.3.4.4","4.10","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","Low 95% confidence interval, percent","Percent","239","units","0","v1200071436","1.1.3.4.5","3.70","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Perceived mental health, fair or poor","High 95% confidence interval, percent","Percent","239","units","0","v1200071437","1.1.3.4.6","4.40","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","Number of persons","Number","223","units","0","v1200071444","1.1.3.6.1","179800","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071445","1.1.3.6.2","166579","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","High 95% confidence interval, number of persons","Number","223","units","0","v1200071446","1.1.3.6.3","192541","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","Percent","Percent","239","units","0","v1200071447","1.1.3.6.4","5.60","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","Low 95% confidence interval, percent","Percent","239","units","0","v1200071448","1.1.3.6.5","5.30","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Asthma","High 95% confidence interval, percent","Percent","239","units","0","v1200071449","1.1.3.6.6","6.10","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","Number of persons","Number","223","units","0","v1200071450","1.1.3.7.1","7700","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071451","1.1.3.7.2","4899","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","High 95% confidence interval, number of persons","Number","223","units","0","v1200071452","1.1.3.7.3","10946","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","Percent","Percent","239","units","0","v1200071453","1.1.3.7.4","0.24","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","Low 95% confidence interval, percent","Percent","239","units","0","v1200071454","1.1.3.7.5","0.16","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Diabetes","High 95% confidence interval, percent","Percent","239","units","0","v1200071455","1.1.3.7.6","0.35","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","Number of persons","Number","223","units","0","v1200071456","1.1.3.8.1","14900","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071457","1.1.3.8.2","10711","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","High 95% confidence interval, number of persons","Number","223","units","0","v1200071458","1.1.3.8.3","19808","","","","0"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","Percent","Percent","239","units","0","v1200071459","1.1.3.8.4","0.47","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","Low 95% confidence interval, percent","Percent","239","units","0","v1200071460","1.1.3.8.5","0.35","","","","2"
"2019","Canada","2011A000011124","Total, 1 to 17 years","Females","Epilepsy","High 95% confidence interval, percent","Percent","239","units","0","v1200071461","1.1.3.8.6","0.64","","","","2"
"2019","Canada","2011A000011124","1 to 4 years","Both sexes","Perceived health, very good or excellent","Number of persons","Number","223","units","0","v1200071510","1.2.1.1.1","1408200","","","","0"
"2019","Canada","2011A000011124","1 to 4 years","Both sexes","Perceived health, very good or excellent","Low 95% confidence interval, number of persons","Number","223","units","0","v1200071511","1.2.1.1.2","1398091","","","","0"
